"","beta_roots","beta_soc","r2_roots","r2_soc","site_code","bgb_c_stock_sum","lyr_soc_stock_calc_sum","land_cover","mat","map","clay","layer_bot_max","sand"
"26",0.956012415603576,0.957286504997715,0.993083564513446,0.996713933220993,"STEI",301.847638894044,10692.977,"Temperate deciduous forest",4.8,797.56,6.625,200,64.525
"27",0.949235567450576,0.97016063492437,0.988719278658572,0.986579330632592,"TREE",779.112754061706,10454.507,"Temperate deciduous forest",4.8,797.56,4.63333333333333,200,80.0222222222222
"28",0.967901840236347,0.98935794791347,0.945075596994776,0.947335817482901,"LENO",345.421762465929,26137.661,"Temperate deciduous forest",18.1,1386.24,27.9666666666667,200,31.3166666666667
"29",0.970280132432654,0.97600015062672,0.9668356551049,0.958243833412786,"TALL",219.885354611338,8653.193,"Temperate coniferous forest",17.2,1382.68,6.05714285714286,200,87.9857142857143
"30",0.984984729487326,0.981832926045342,0.969353582901149,0.943707497264657,"SRER",62.6245717061967,4846.742,"Shrubland",19.3,346.16,9.2,203,68.66
"31",0.970618448790579,0.979092843960306,0.993552377129382,0.961906028744591,"ABBY",869.469683905583,28660.27,"Temperate coniferous forest",10,2450.59,37.2428571428571,200,23.6571428571429
"32",0.933152204060015,0.985180988503426,0.674505849872307,0.986178122518679,"WREF",2065.38032177399,16784.476,"Temperate coniferous forest",9.2,2225.01,7.28571428571429,200,66.8571428571429
"33",0.980717934201096,0.980632526865853,0.85029685934221,0.974478597102633,"SJER",132.47730944873,5394.431,"Savanna",16.4,539.62,5.71666666666667,180,82.1166666666667
"34",0.983755096523827,0.972917649727332,0.997273394542762,0.989020107643985,"SOAP",705.736784989487,19322.062,"Temperate coniferous forest",13.4,900.35,17.2833333333333,213,55.2833333333333
"35",0.959412407936802,0.988106246996135,0.983339884770488,0.956250877249461,"BONA",317.224579169012,49500.726,NA,-3,262,9.88,193,26.12
"36",0.81968463824154,0.98209130411601,0.98447599219408,0.810700236214297,"DEJU",792.800214931378,16306.556,NA,-3,305,5.75714285714286,300,57.8142857142857
"37",0.954667647648379,0.982042707572808,0.976011133526903,0.907675811124919,"HEAL",2522.22566494171,45429.595,NA,-1.3,385.3,14.05,85,36.85
