"google_dir","layer_top","layer_bot","layer_mid","time_series","layers","var_n","avg","min","max"
"BNZ2",35,62,NA,"NO","NO",1,36.8,36.8,36.8
"BNZ2",35,63,NA,"NO","NO",1,29.9,29.9,29.9
"BNZ2",35,65,NA,"NO","NO",2,32.6,31.6,33.5
"BNZ2",35,NA,NA,"NO","NO",2,NA,NA,NA
"BNZ2",40,42,NA,"NO","NO",1,20.7,20.7,20.7
"BNZ2",40,45,NA,"NO","NO",1,14.9,14.9,14.9
"BNZ2",40,45.5,NA,"NO","NO",1,16,16,16
"BNZ2",40,50,NA,"NO","NO",5,10.8,2.6,24.7
"BNZ2",50,54,NA,"NO","NO",1,2.7,2.7,2.7
"BNZ2",50,55,NA,"NO","NO",1,11.2,11.2,11.2
"BNZ2",50,58,NA,"NO","NO",1,26.4,26.4,26.4
"BNZ2",50,59,NA,"NO","NO",1,14.6,14.6,14.6
"BNZ2",50,62,NA,"NO","NO",1,3.2,3.2,3.2
"BNZ3",0,2,NA,"NO","NO",1,12.7,12.7,12.7
"BNZ3",0,3,NA,"NO","NO",1,4.5,4.5,4.5
"BNZ3",0,5,NA,"NO","NO",137,9.2,1.9,19.8
"BNZ3",0,12,NA,"NO","NO",1,4.7,4.7,4.7
"BNZ3",0.2,0,NA,"NO","NO",1,26.2,26.2,26.2
"BNZ3",0.25,0,NA,"NO","NO",1,42.7,42.7,42.7
"BNZ3",0.5,0,NA,"NO","NO",13,30,21.7,40.9
"BNZ3",1,0,NA,"NO","NO",14,38.9,23.7,44.8
"BNZ3",1,0.5,NA,"NO","NO",1,40.9,40.9,40.9
"BNZ3",1.5,0,NA,"NO","NO",1,42.4,42.4,42.4
"BNZ3",2,0,NA,"NO","NO",41,41.8,26.2,46.1
"BNZ3",2.5,0,NA,"NO","NO",2,44.9,44.7,45.2
"BNZ3",3,0,NA,"NO","NO",27,41.4,21.3,47.2
"BNZ3",3,1.5,NA,"NO","NO",1,43.6,43.6,43.6
"BNZ3",3,2,NA,"NO","NO",1,45.9,45.9,45.9
